1	Column1	NewCol1	START	MID	STOP
2			0	0	0
3	Degree curricula and 	Degree curricula and 	0	0	0
4	certificate Programs 	certificate Programs 	0	0	0
5	San Diego MiraMar College • 2017–2018 133 	San Diego MiraMar College • 2017–2018 133 	0	0	0
6			0	0	0
7	Degree and certifcate list 	Degree and certifcate list 	0	0	0
8	Degree title a.a. 	Degree title a.a. 	0	0	0
9	Degree 	Degree 	0	0	0
10	a.S. 	a.S. 	0	0	0
11	Degree 	Degree 	0	0	0
12	associate 	associate 	0	0	0
13	Degree for 	Degree for 	0	0	0
14	transfer 	transfer 	0	0	0
15	certifcate of 	certifcate of 	0	0	0
16	achievement 	achievement 	0	0	0
17	certifcate of 	certifcate of 	0	0	0
18	Performance Page 	Performance Page 	0	0	0
19	accountancy 	accountancy 	0	0	0
20	Accountancy X X 139 	Accountancy X X 139 	0	0	0
21	Accounting Bookkeeping X 139 	Accounting Bookkeeping X 139 	0	0	0
22	administration of Justice 	administration of Justice 	0	0	0
23	Administration of Justice X 144 	Administration of Justice X 144 	0	0	0
24	Advanced Trafc Accident 	Advanced Trafc Accident 	0	0	0
25	Investigation 	Investigation 	0	0	0
26	X 142 	X 142 	0	0	0
27	Contemporary Police 	Contemporary Police 	0	0	0
28	Technologies 	Technologies 	0	0	0
29	X X 142 	X X 142 	0	0	0
30	Correctional Technologies X X 142 	Correctional Technologies X X 142 	0	0	0
31	Investigations Specialization X X 142 	Investigations Specialization X X 142 	0	0	0
32	Law Enforcement X X 142 	Law Enforcement X X 142 	0	0	0
33	Law Enforcement Supervision X 143 	Law Enforcement Supervision X 143 	0	0	0
34	Law Enforcement Technologies X 143 	Law Enforcement Technologies X 143 	0	0	0
35	P.C. 832 Laws of Arrest X 141 	P.C. 832 Laws of Arrest X 141 	0	0	0
36	P.C. 832 Laws of Arrest – Firearms X 141 	P.C. 832 Laws of Arrest – Firearms X 141 	0	0	0
37	Technical Achievement for Field 	Technical Achievement for Field 	0	0	0
38	Training Ofcers 	Training Ofcers 	0	0	0
39	X 143 	X 143 	0	0	0
40	Transportation Security X 141 	Transportation Security X 141 	0	0	0
41	anthropology 	anthropology 	0	0	0
42	Anthropology X 146 	Anthropology X 146 	0	0	0
43	art History 	art History 	0	0	0
44	Art History X 147 	Art History X 147 	0	0	0
45	art/Visual Studies 	art/Visual Studies 	0	0	0
46	Art/Visual Studies X 150 	Art/Visual Studies X 150 	0	0	0
47	Combined Drawing/Painting X 149 	Combined Drawing/Painting X 149 	0	0	0
48	Craft Skills X X 148 	Craft Skills X X 148 	0	0	0
49	Studio Arts X X 149 	Studio Arts X X 149 	0	0	0
50	automotive technology 	automotive technology 	0	0	0
51	Advanced Emission Specialist X 152 	Advanced Emission Specialist X 152 	0	0	0
52	Automotive Chassis X 152 	Automotive Chassis X 152 	0	0	0
53	Automotive Electrical X 152 	Automotive Electrical X 152 	0	0	0
54	Automotive Engine Performance X 153 	Automotive Engine Performance X 153 	0	0	0
55	Automotive Technology X 153 	Automotive Technology X 153 	0	0	0
56	Automotive Transmissions X 153 	Automotive Transmissions X 153 	0	0	0
57	aviation Maintenance technology 	aviation Maintenance technology 	0	0	0
58	Airframe X X 155 	Airframe X X 155 	0	0	0
59	Airframe & Powerplant X X 155 	Airframe & Powerplant X X 155 	0	0	0
60	134 San Diego MiraMar College • 2017–2018 	134 San Diego MiraMar College • 2017–2018 	0	0	0
61			0	0	0
62	Degree and certifcate list 	Degree and certifcate list 	0	0	0
63	Degree title a.a. 	Degree title a.a. 	0	0	0
64	Degree 	Degree 	0	0	0
65	a.S. 	a.S. 	0	0	0
66	Degree 	Degree 	0	0	0
67	associate 	associate 	0	0	0
68	Degree for 	Degree for 	0	0	0
69	transfer 	transfer 	0	0	0
70	certifcate of 	certifcate of 	0	0	0
71	achievement 	achievement 	0	0	0
72	certifcate of 	certifcate of 	0	0	0
73	Performance Page 	Performance Page 	0	0	0
74	Aviation General Studies X X 156 	Aviation General Studies X X 156 	0	0	0
75	Pilot Studies X X 156 	Pilot Studies X X 156 	0	0	0
76	Powerplant X X 156 	Powerplant X X 156 	0	0	0
77	aviation operations 	aviation operations 	0	0	0
78	Aviation Business Administration X 162 	Aviation Business Administration X 162 	0	0	0
79	Aviation Operations Management X 162 	Aviation Operations Management X 162 	0	0	0
80	Commercial Pilot X 161 	Commercial Pilot X 161 	0	0	0
81	Flight Instructor X 161 	Flight Instructor X 161 	0	0	0
82	Helicopter Operations X 161 	Helicopter Operations X 161 	0	0	0
83	Instrument Pilot X 161 	Instrument Pilot X 161 	0	0	0
84	Private Pilot X 161 	Private Pilot X 161 	0	0	0
85	Professional Aeronautics X 163 	Professional Aeronautics X 163 	0	0	0
86	Professional Piloting X 163 	Professional Piloting X 163 	0	0	0
87	Team Resource Management X 162 	Team Resource Management X 162 	0	0	0
88	Biology 	Biology 	0	0	0
89	Biology X 165 	Biology X 165 	0	0	0
90	Biology Studies X 165 	Biology Studies X 165 	0	0	0
91	Biology/allied Health 	Biology/allied Health 	0	0	0
92	Allied Health Track X 167 	Allied Health Track X 167 	0	0	0
93	Biotechnology 	Biotechnology 	0	0	0
94	Applied Biology Track X 168 	Applied Biology Track X 168 	0	0	0
95	Applied Biotechnology– 	Applied Biotechnology– 	0	0	0
96	Molecular Biology 	Molecular Biology 	0	0	0
97	X 168 	X 168 	0	0	0
98	Biotechnology X 168 	Biotechnology X 168 	0	0	0
99	Business administration 	Business administration 	0	0	0
100	Business Administration X X X 169 	Business Administration X X X 169 	0	0	0
101	Business Management 	Business Management 	0	0	0
102	Business Management X X 172 	Business Management X X 172 	0	0	0
103	Financial Services X X 	Financial Services X X 	0	0	0
104	chemistry 	chemistry 	0	0	0
105	Chemistry Studies X 174 	Chemistry Studies X 174 	0	0	0
106	child Development 	child Development 	0	0	0
107	Assistant Teacher X 175 	Assistant Teacher X 175 	0	0	0
108	Associate Teacher X 176 	Associate Teacher X 176 	0	0	0
109	Child Development X 178 	Child Development X 178 	0	0	0
110	Family Child Care X 176 	Family Child Care X 176 	0	0	0
111	Family and Child Relations X 175 	Family and Child Relations X 175 	0	0	0
112	Degree curricula and certificate Programs 	Degree curricula and certificate Programs 	0	0	0
113	San Diego MiraMar College • 2017–2018 135 	San Diego MiraMar College • 2017–2018 135 	0	0	0
114			0	0	0
115	Degree and certifcate list 	Degree and certifcate list 	0	0	0
116	Degree title a.a. 	Degree title a.a. 	0	0	0
117	Degree 	Degree 	0	0	0
118	a.S. 	a.S. 	0	0	0
119	Degree 	Degree 	0	0	0
120	associate 	associate 	0	0	0
121	Degree for 	Degree for 	0	0	0
122	transfer 	transfer 	0	0	0
123	certifcate of 	certifcate of 	0	0	0
124	achievement 	achievement 	0	0	0
125	certifcate of 	certifcate of 	0	0	0
126	Performance Page 	Performance Page 	0	0	0
127	Human Development Studies X 179 	Human Development Studies X 179 	0	0	0
128	Infant/Toddler Care X 176 	Infant/Toddler Care X 176 	0	0	0
129	Master Teacher X 177 	Master Teacher X 177 	0	0	0
130	Residential Care Workers X 176 	Residential Care Workers X 176 	0	0	0
131	Site Supervisor X 178 	Site Supervisor X 178 	0	0	0
132	Teacher X 177 	Teacher X 177 	0	0	0
133	communication Studies 	communication Studies 	0	0	0
134	Communication Studies X 180 	Communication Studies X 180 	0	0	0
135	computer Business technology 	computer Business technology 	0	0	0
136	Administrative Assistant X X X 182 	Administrative Assistant X X X 182 	0	0	0
137	Website Designer X 182 	Website Designer X 182 	0	0	0
138	computer and Information Sciences 	computer and Information Sciences 	0	0	0
139	Computer and Information 	Computer and Information 	0	0	0
140	Sciences 	Sciences 	0	0	0
141	X X 183 	X X 183 	0	0	0
142	Computer Programming X 183 	Computer Programming X 183 	0	0	0
143	Diesel technology 	Diesel technology 	0	0	0
144	Diesel Fuel Injection Systems X 185 	Diesel Fuel Injection Systems X 185 	0	0	0
145	Engine Overhaul, Caterpillar X 186 	Engine Overhaul, Caterpillar X 186 	0	0	0
146	Engine Overhaul, Cummins X 186 	Engine Overhaul, Cummins X 186 	0	0	0
147	Engine Overhaul, Detroit Diesel X 186 	Engine Overhaul, Detroit Diesel X 186 	0	0	0
148	Engine Repair, Caterpillar X 187 	Engine Repair, Caterpillar X 187 	0	0	0
149	Engine Repair, Cummins X 187 	Engine Repair, Cummins X 187 	0	0	0
150	Engine Repair, Detroit Diesel X 187 	Engine Repair, Detroit Diesel X 187 	0	0	0
151	Heavy Equipment Powertrains X 185 	Heavy Equipment Powertrains X 185 	0	0	0
152	Heavy Duty Diesel and Advanced 	Heavy Duty Diesel and Advanced 	0	0	0
153	Transportation Technology 	Transportation Technology 	0	0	0
154	(HDDAT) (Evening Program) 	(HDDAT) (Evening Program) 	0	0	0
155	X 187 	X 187 	0	0	0
156	Heavy Duty Transportation 	Heavy Duty Transportation 	0	0	0
157	Technology (HDTT) (Day 	Technology (HDTT) (Day 	0	0	0
158	Program) 	Program) 	0	0	0
159	X X 187 	X X 187 	0	0	0
160	Heavy Equipment Technology 	Heavy Equipment Technology 	0	0	0
161	(HET) 	(HET) 	0	0	0
162	(Day Program) 	(Day Program) 	0	0	0
163	X X 188 	X X 188 	0	0	0
164	Heavy Equipment Undercarriage 	Heavy Equipment Undercarriage 	0	0	0
165	Systems 	Systems 	0	0	0
166	X 185 	X 185 	0	0	0
167	Mobile Hydraulics Technician X 186 	Mobile Hydraulics Technician X 186 	0	0	0
168	San Diego City Civil Service 	San Diego City Civil Service 	0	0	0
169	Equipment Mechanic 	Equipment Mechanic 	0	0	0
170	Apprenticeship 	Apprenticeship 	0	0	0
171	X X 189 	X X 189 	0	0	0
172	136 San Diego MiraMar College • 2017–2018 	136 San Diego MiraMar College • 2017–2018 	0	0	0
173			0	0	0
174	Degree and certifcate list 	Degree and certifcate list 	0	0	0
175	Degree title a.a. 	Degree title a.a. 	0	0	0
176	Degree 	Degree 	0	0	0
177	a.S. 	a.S. 	0	0	0
178	Degree 	Degree 	0	0	0
179	associate 	associate 	0	0	0
180	Degree for 	Degree for 	0	0	0
181	transfer 	transfer 	0	0	0
182	certifcate of 	certifcate of 	0	0	0
183	achievement 	achievement 	0	0	0
184	certifcate of 	certifcate of 	0	0	0
185	Performance Page 	Performance Page 	0	0	0
186	San Diego Transit General 	San Diego Transit General 	0	0	0
187	Mechanic Apprenticeship 	Mechanic Apprenticeship 	0	0	0
188	X X 189 	X X 189 	0	0	0
189	Steering, Suspension, and 	Steering, Suspension, and 	0	0	0
190	Drivelines 	Drivelines 	0	0	0
191	X 186 	X 186 	0	0	0
192	Truck Air Brake Systems X 186 	Truck Air Brake Systems X 186 	0	0	0
193	Truck Drive Axles X 186 	Truck Drive Axles X 186 	0	0	0
